location,date,time,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,predominant,AQI
"Borivali East, Mumbai - IITM",2025-04-21,04:00:00,32,64,NA,38,NA,5,NA,28,10,PM10,64
"Borivali East, Mumbai - IITM",2025-04-21,04:00:00,32,64,NA,38,NA,5,NA,28,10,PM10,64
"Borivali East, Mumbai - IITM",2025-04-21,04:00:00,32,64,NA,38,NA,5,NA,28,10,PM10,64
"Borivali East, Mumbai - IITM",2025-04-21,06:00:00,33,64,NA,37,NA,5,NA,23,6,PM10,64
"Borivali East, Mumbai - IITM",2025-04-21,08:00:00,33,63,NA,37,NA,5,NA,24,3,PM10,63
"Borivali East, Mumbai - IITM",2025-04-21,09:00:00,32,62,NA,37,NA,5,NA,24,4,PM10,62
"Borivali East, Mumbai - IITM",2025-04-21,10:00:00,32,62,NA,38,NA,5,NA,27,7,PM10,62
"Borivali East, Mumbai - IITM",2025-04-21,11:00:00,32,62,NA,38,NA,5,NA,27,7,PM10,62
"Borivali East, Mumbai - IITM",2025-04-21,12:00:00,33,62,NA,38,NA,5,NA,32,19,PM10,62
"Borivali East, Mumbai - IITM",2025-04-21,13:00:00,33,62,NA,38,NA,5,NA,32,22,PM10,62
"Borivali East, Mumbai - IITM",2025-04-21,14:00:00,32,62,NA,38,NA,5,NA,31,27,PM10,62
"Borivali East, Mumbai - IITM",2025-04-21,15:00:00,33,62,NA,38,NA,5,NA,30,32,PM10,62
"Borivali East, Mumbai - IITM",2025-04-21,16:00:00,33,63,NA,38,NA,5,NA,25,32,PM10,63
"Borivali East, Mumbai - IITM",2025-04-21,17:00:00,32,63,NA,38,NA,5,NA,21,32,PM10,63
"Borivali East, Mumbai - IITM",2025-04-21,18:00:00,33,63,NA,38,NA,5,NA,19,36,PM10,63
"Borivali East, Mumbai - IITM",2025-04-21,19:00:00,33,63,NA,38,NA,5,NA,18,36,PM10,63
"Borivali East, Mumbai - IITM",2025-04-21,20:00:00,33,63,NA,38,NA,5,NA,18,36,PM10,63
"Borivali East, Mumbai - IITM",2025-04-21,21:00:00,34,64,NA,37,NA,5,NA,15,31,PM10,64
"Borivali East, Mumbai - IITM",2025-04-21,22:00:00,35,65,NA,37,NA,5,NA,19,29,PM10,65
"Borivali East, Mumbai - IITM",2025-04-21,23:00:00,35,66,NA,37,NA,5,NA,21,27,PM10,66
"Borivali East, Mumbai - IITM",2025-04-22,00:00:00,35,68,NA,37,NA,5,NA,23,23,PM10,68
