location,date,time,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,predominant,AQI
"Borivali East, Mumbai - MPCB",2025-04-23,19:00:00,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"Borivali East, Mumbai - MPCB",2025-04-23,20:00:00,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"Borivali East, Mumbai - MPCB",2025-04-23,21:00:00,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"Borivali East, Mumbai - MPCB",2025-04-23,22:00:00,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"Borivali East, Mumbai - MPCB",2025-04-23,23:00:00,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"Borivali East, Mumbai - MPCB",2025-04-24,00:00:00,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"Borivali East, Mumbai - MPCB",2025-04-24,01:00:00,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"Borivali East, Mumbai - MPCB",2025-04-24,02:00:00,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"Borivali East, Mumbai - MPCB",2025-04-24,03:00:00,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"Borivali East, Mumbai - MPCB",2025-04-24,04:00:00,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"Borivali East, Mumbai - MPCB",2025-04-24,06:00:00,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"Borivali East, Mumbai - MPCB",2025-04-24,08:00:00,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"Borivali East, Mumbai - MPCB",2025-04-24,09:00:00,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"Borivali East, Mumbai - MPCB",2025-04-24,10:00:00,34,NA,NA,13,NA,1,NA,5,NA,PM2.5,34
"Borivali East, Mumbai - MPCB",2025-04-24,11:00:00,35,64,NA,15,NA,1,8,5,NA,PM10,64
"Borivali East, Mumbai - MPCB",2025-04-24,12:00:00,35,67,NA,15,NA,1,8,5,NA,PM10,67
"Borivali East, Mumbai - MPCB",2025-04-24,14:00:00,35,69,NA,15,NA,1,8,5,NA,PM10,69
"Borivali East, Mumbai - MPCB",2025-04-24,15:00:00,35,70,NA,15,NA,1,8,5,NA,PM10,70
"Borivali East, Mumbai - MPCB",2025-04-24,16:00:00,35,69,NA,15,NA,1,8,5,NA,PM10,69
"Borivali East, Mumbai - MPCB",2025-04-24,17:00:00,35,69,NA,14,NA,1,8,5,NA,PM10,69
