location,date,time,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,predominant,AQI
"Byculla, Mumbai - BMC",2025-04-21,04:00:00,29,56,NA,25,NA,6,NA,8,23,PM10,56
"Byculla, Mumbai - BMC",2025-04-21,04:00:00,29,56,NA,25,NA,6,NA,8,23,PM10,56
"Byculla, Mumbai - BMC",2025-04-21,04:00:00,29,56,NA,25,NA,6,NA,8,23,PM10,56
"Byculla, Mumbai - BMC",2025-04-21,06:00:00,28,55,NA,24,NA,6,NA,8,18,PM10,55
"Byculla, Mumbai - BMC",2025-04-21,08:00:00,28,54,NA,24,NA,6,NA,10,13,PM10,54
"Byculla, Mumbai - BMC",2025-04-21,09:00:00,27,54,NA,24,NA,6,NA,10,14,PM10,54
"Byculla, Mumbai - BMC",2025-04-21,10:00:00,27,54,NA,25,NA,6,NA,11,15,PM10,54
"Byculla, Mumbai - BMC",2025-04-21,11:00:00,26,54,NA,25,NA,6,NA,11,15,PM10,54
"Byculla, Mumbai - BMC",2025-04-21,12:00:00,26,53,NA,24,NA,6,NA,14,21,PM10,53
"Byculla, Mumbai - BMC",2025-04-21,13:00:00,26,53,NA,25,NA,6,NA,14,25,PM10,53
"Byculla, Mumbai - BMC",2025-04-21,14:00:00,26,52,NA,25,NA,6,NA,15,29,PM10,52
"Byculla, Mumbai - BMC",2025-04-21,15:00:00,26,52,NA,26,NA,6,NA,14,33,PM10,52
