location,date,time,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,predominant,AQI
"Chakala-Andheri East, Mumbai - IITM",2025-04-30,12:00:00,NA,NA,NA,NA,NA,NA,NA,9,28,NA,NA
"Chakala-Andheri East, Mumbai - IITM",2025-04-30,13:00:00,NA,NA,NA,NA,NA,NA,NA,8,28,NA,NA
"Chakala-Andheri East, Mumbai - IITM",2025-04-30,14:00:00,NA,NA,NA,NA,NA,NA,NA,6,32,NA,NA
"Chakala-Andheri East, Mumbai - IITM",2025-04-30,15:00:00,NA,NA,NA,NA,NA,NA,NA,5,39,NA,NA
"Chakala-Andheri East, Mumbai - IITM",2025-04-30,17:00:00,NA,NA,NA,NA,NA,NA,NA,5,38,NA,NA
"Chakala-Andheri East, Mumbai - IITM",2025-04-30,18:00:00,NA,NA,NA,NA,NA,NA,NA,11,38,NA,NA
"Chakala-Andheri East, Mumbai - IITM",2025-04-30,19:00:00,NA,NA,NA,NA,NA,NA,NA,14,36,NA,NA
"Chakala-Andheri East, Mumbai - IITM",2025-04-30,20:00:00,NA,NA,NA,NA,NA,NA,NA,16,34,NA,NA
"Chakala-Andheri East, Mumbai - IITM",2025-04-30,22:00:00,NA,NA,NA,NA,NA,NA,NA,22,31,NA,NA
"Chakala-Andheri East, Mumbai - IITM",2025-04-30,23:00:00,NA,NA,NA,NA,NA,NA,NA,25,29,NA,NA
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,00:00:00,NA,NA,NA,NA,NA,NA,NA,28,25,NA,NA
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,01:00:00,NA,NA,NA,NA,NA,NA,NA,30,23,NA,NA
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,02:00:00,NA,NA,NA,NA,NA,NA,NA,30,21,NA,NA
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,03:00:00,44,74,NA,NA,NA,NA,NA,28,20,PM10,74
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,04:00:00,42,73,NA,NA,NA,NA,NA,26,18,PM10,73
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,06:00:00,40,71,NA,NA,NA,NA,NA,23,17,PM10,71
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,08:00:00,39,71,NA,NA,NA,NA,NA,23,14,PM10,71
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,09:00:00,40,72,NA,NA,NA,NA,NA,23,15,PM10,72
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,10:00:00,40,73,NA,NA,NA,NA,49,23,18,PM10,73
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,11:00:00,40,74,NA,NA,NA,NA,52,23,22,PM10,74
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,12:00:00,39,75,NA,NA,NA,NA,59,23,26,PM10,75
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,13:00:00,38,76,NA,NA,NA,NA,59,23,26,PM10,76
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,14:00:00,37,76,NA,NA,NA,NA,60,22,36,PM10,76
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,15:00:00,37,77,NA,NA,NA,NA,61,21,41,PM10,77
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,16:00:00,36,77,NA,NA,NA,NA,63,19,47,PM10,77
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,17:00:00,35,77,NA,NA,NA,NA,65,16,51,PM10,77
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,18:00:00,35,78,NA,NA,NA,NA,63,15,54,PM10,78
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,19:00:00,34,78,NA,NA,NA,NA,62,14,55,PM10,78
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,20:00:00,34,78,NA,NA,NA,NA,61,15,52,PM10,78
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,21:00:00,35,78,NA,NA,NA,NA,59,16,50,PM10,78
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,22:00:00,35,79,NA,NA,NA,NA,58,17,49,PM10,79
"Chakala-Andheri East, Mumbai - IITM",2025-05-01,23:00:00,35,79,NA,NA,NA,NA,58,17,49,PM10,79
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,00:00:00,35,79,NA,NA,NA,NA,57,20,44,PM10,79
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,01:00:00,35,79,NA,17,NA,1,57,21,40,PM10,79
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,02:00:00,36,80,NA,17,NA,1,57,22,37,PM10,80
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,03:00:00,36,80,NA,17,NA,1,56,22,33,PM10,80
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,04:00:00,36,80,NA,17,NA,1,54,22,29,PM10,80
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,06:00:00,38,81,NA,16,NA,1,49,20,27,PM10,81
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,08:00:00,38,80,NA,16,NA,1,41,19,20,PM10,80
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,09:00:00,38,80,NA,16,NA,1,41,19,20,PM10,80
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,10:00:00,38,80,NA,17,NA,1,33,19,22,PM10,80
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,11:00:00,38,80,NA,17,NA,1,30,19,26,PM10,80
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,12:00:00,38,80,NA,18,NA,1,25,19,31,PM10,80
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,13:00:00,38,81,NA,18,NA,1,25,19,31,PM10,81
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,14:00:00,38,82,NA,18,NA,1,24,18,42,PM10,82
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,15:00:00,38,82,NA,18,NA,1,24,18,45,PM10,82
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,16:00:00,38,82,NA,18,NA,1,23,17,50,PM10,82
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,17:00:00,38,82,NA,18,NA,1,22,17,50,PM10,82
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,18:00:00,39,81,NA,18,NA,1,21,17,60,PM10,81
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,19:00:00,39,80,NA,19,NA,1,20,16,65,PM10,80
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,20:00:00,39,78,NA,18,NA,1,20,14,66,PM10,78
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,21:00:00,38,82,NA,18,NA,1,20,17,57,PM10,82
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,22:00:00,38,84,NA,19,NA,1,20,23,43,PM10,84
"Chakala-Andheri East, Mumbai - IITM",2025-05-02,23:00:00,38,86,NA,20,NA,1,19,29,25,PM10,86
"Chakala-Andheri East, Mumbai - IITM",2025-05-03,00:00:00,38,87,NA,20,NA,1,18,28,24,PM10,87
"Chakala-Andheri East, Mumbai - IITM",2025-05-03,01:00:00,38,88,NA,20,NA,1,18,25,23,PM10,88
"Chakala-Andheri East, Mumbai - IITM",2025-05-03,02:00:00,38,89,NA,20,NA,1,17,23,22,PM10,89
"Chakala-Andheri East, Mumbai - IITM",2025-05-03,03:00:00,38,89,NA,20,NA,2,18,22,23,PM10,89
"Chakala-Andheri East, Mumbai - IITM",2025-05-03,04:00:00,37,88,NA,20,NA,2,19,20,23,PM10,88
"Chakala-Andheri East, Mumbai - IITM",2025-05-03,06:00:00,35,87,NA,20,NA,2,19,18,19,PM10,87
"Chakala-Andheri East, Mumbai - IITM",2025-05-03,08:00:00,34,87,NA,20,NA,1,21,19,17,PM10,87
"Chakala-Andheri East, Mumbai - IITM",2025-05-03,09:00:00,33,88,NA,20,NA,1,22,18,18,PM10,88
"Chakala-Andheri East, Mumbai - IITM",2025-05-03,10:00:00,32,89,NA,20,NA,1,23,18,22,PM10,89
"Chakala-Andheri East, Mumbai - IITM",2025-05-03,11:00:00,32,90,NA,20,NA,2,23,18,25,PM10,90
"Chakala-Andheri East, Mumbai - IITM",2025-05-03,12:00:00,31,91,NA,20,NA,2,24,18,29,PM10,91
"Chakala-Andheri East, Mumbai - IITM",2025-05-03,13:00:00,30,90,NA,20,NA,2,25,17,33,PM10,90
"Chakala-Andheri East, Mumbai - IITM",2025-05-03,14:00:00,30,92,NA,20,NA,2,26,16,38,PM10,92
