location,date,time,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,predominant,AQI
"Kandivali East, Mumbai - MPCB",2025-04-21,04:00:00,78,100,NA,1,NA,3,NA,NA,NA,PM10,100
"Kandivali East, Mumbai - MPCB",2025-04-21,04:00:00,78,100,NA,1,NA,3,NA,NA,NA,PM10,100
"Kandivali East, Mumbai - MPCB",2025-04-21,04:00:00,78,100,NA,1,NA,3,NA,NA,NA,PM10,100
"Kandivali East, Mumbai - MPCB",2025-04-21,06:00:00,78,100,NA,1,NA,2,NA,NA,NA,PM10,100
"Kandivali East, Mumbai - MPCB",2025-04-21,08:00:00,78,100,NA,1,NA,2,NA,NA,NA,PM10,100
"Kandivali East, Mumbai - MPCB",2025-04-21,09:00:00,78,100,NA,1,NA,2,NA,NA,NA,PM10,100
"Kandivali East, Mumbai - MPCB",2025-04-21,10:00:00,78,100,NA,1,NA,2,NA,NA,NA,PM10,100
"Kandivali East, Mumbai - MPCB",2025-04-21,11:00:00,78,100,NA,1,NA,2,NA,NA,NA,PM10,100
"Kandivali East, Mumbai - MPCB",2025-04-21,12:00:00,78,100,NA,1,NA,2,NA,NA,NA,PM10,100
"Kandivali East, Mumbai - MPCB",2025-04-21,13:00:00,77,99,NA,1,NA,2,NA,NA,NA,PM10,99
"Kandivali East, Mumbai - MPCB",2025-04-21,14:00:00,77,99,NA,1,NA,2,NA,NA,NA,PM10,99
"Kandivali East, Mumbai - MPCB",2025-04-21,15:00:00,77,99,NA,1,NA,2,NA,146,NA,CO,146
"Kandivali East, Mumbai - MPCB",2025-04-21,16:00:00,77,99,NA,1,NA,2,NA,146,NA,CO,146
"Kandivali East, Mumbai - MPCB",2025-04-21,17:00:00,77,99,NA,1,NA,2,NA,146,NA,CO,146
"Kandivali East, Mumbai - MPCB",2025-04-21,18:00:00,77,99,NA,1,NA,2,NA,146,NA,CO,146
"Kandivali East, Mumbai - MPCB",2025-04-21,19:00:00,77,99,NA,NA,NA,2,NA,146,NA,CO,146
"Kandivali East, Mumbai - MPCB",2025-04-21,20:00:00,77,98,NA,NA,NA,2,NA,146,NA,CO,146
"Kandivali East, Mumbai - MPCB",2025-04-21,21:00:00,77,98,NA,NA,NA,2,NA,146,NA,CO,146
"Kandivali East, Mumbai - MPCB",2025-04-21,22:00:00,77,98,NA,NA,NA,2,NA,146,NA,CO,146
"Kandivali East, Mumbai - MPCB",2025-04-21,23:00:00,77,98,NA,NA,NA,2,NA,146,NA,CO,146
"Kandivali East, Mumbai - MPCB",2025-04-22,00:00:00,77,98,NA,NA,NA,1,NA,NA,NA,PM10,98
"Kandivali East, Mumbai - MPCB",2025-04-22,01:00:00,77,98,NA,NA,NA,1,NA,NA,NA,PM10,98
"Kandivali East, Mumbai - MPCB",2025-04-22,02:00:00,77,98,NA,NA,NA,1,NA,NA,NA,PM10,98
"Kandivali East, Mumbai - MPCB",2025-04-22,03:00:00,77,98,NA,NA,NA,1,NA,NA,NA,PM10,98
"Kandivali East, Mumbai - MPCB",2025-04-22,04:00:00,77,99,NA,NA,NA,1,NA,NA,NA,PM10,99
"Kandivali East, Mumbai - MPCB",2025-04-22,06:00:00,78,99,NA,NA,NA,1,NA,NA,NA,PM10,99
"Kandivali East, Mumbai - MPCB",2025-04-22,08:00:00,78,100,NA,NA,NA,1,NA,147,NA,CO,147
"Kandivali East, Mumbai - MPCB",2025-04-22,08:00:00,78,100,NA,NA,NA,1,NA,147,NA,CO,147
"Kandivali East, Mumbai - MPCB",2025-04-22,09:00:00,78,100,NA,NA,NA,1,NA,147,NA,CO,147
"Kandivali East, Mumbai - MPCB",2025-04-22,10:00:00,78,100,NA,NA,NA,1,NA,147,NA,CO,147
"Kandivali East, Mumbai - MPCB",2025-04-22,11:00:00,78,100,NA,NA,NA,1,NA,147,NA,CO,147
"Kandivali East, Mumbai - MPCB",2025-04-22,12:00:00,78,NA,NA,NA,NA,1,NA,147,NA,CO,147
"Kandivali East, Mumbai - MPCB",2025-04-22,13:00:00,78,NA,NA,NA,NA,1,NA,147,NA,CO,147
"Kandivali East, Mumbai - MPCB",2025-04-22,14:00:00,78,NA,NA,NA,NA,1,NA,147,NA,CO,147
