location,date,time,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,predominant,AQI
"Worli, Mumbai -MPCB",2026-02-17,15:00:00,98,134,NA,44,NA,4,NA,13,86,PM10,134
"Worli, Mumbai -MPCB",2026-02-17,16:00:00,97,133,NA,44,NA,4,NA,13,193,OZONE,193
"Worli, Mumbai -MPCB",2026-02-17,17:00:00,99,134,NA,43,NA,4,NA,13,175,OZONE,175
"Worli, Mumbai -MPCB",2026-02-17,19:00:00,101,135,NA,43,NA,4,NA,13,124,PM10,135
"Worli, Mumbai -MPCB",2026-02-17,20:00:00,100,134,NA,42,NA,4,NA,14,132,PM10,134
"Worli, Mumbai -MPCB",2026-02-17,21:00:00,100,134,NA,42,NA,4,NA,15,134,PM10,134
"Worli, Mumbai -MPCB",2026-02-17,22:00:00,100,133,NA,40,NA,4,NA,16,136,OZONE,136
"Worli, Mumbai -MPCB",2026-02-17,23:00:00,100,133,NA,40,NA,4,NA,16,136,OZONE,136
"Worli, Mumbai -MPCB",2026-02-18,00:00:00,98,130,NA,38,NA,4,NA,16,125,PM10,130
"Worli, Mumbai -MPCB",2026-02-18,01:00:00,98,130,NA,38,NA,4,NA,16,125,PM10,130
"Worli, Mumbai -MPCB",2026-02-18,02:00:00,94,124,NA,35,NA,4,NA,14,116,PM10,124
"Worli, Mumbai -MPCB",2026-02-18,03:00:00,89,121,NA,34,NA,4,NA,14,111,PM10,121
"Worli, Mumbai -MPCB",2026-02-18,04:00:00,84,117,NA,34,NA,4,NA,13,105,PM10,117
"Worli, Mumbai -MPCB",2026-02-18,06:00:00,85,117,NA,34,NA,3,NA,12,101,PM10,117
"Worli, Mumbai -MPCB",2026-02-18,09:00:00,86,117,NA,34,NA,3,NA,12,77,PM10,117
"Worli, Mumbai -MPCB",2026-02-18,11:00:00,83,114,NA,34,NA,3,NA,14,68,PM10,114
"Worli, Mumbai -MPCB",2026-02-18,12:00:00,82,114,NA,34,NA,3,NA,15,65,PM10,114
"Worli, Mumbai -MPCB",2026-02-18,13:00:00,82,114,NA,34,NA,3,NA,15,65,PM10,114
"Worli, Mumbai -MPCB",2026-02-18,14:00:00,79,111,NA,33,NA,3,NA,15,60,PM10,111
"Worli, Mumbai -MPCB",2026-02-18,15:00:00,77,109,NA,33,NA,3,NA,14,62,PM10,109
"Worli, Mumbai -MPCB",2026-02-18,16:00:00,75,107,NA,33,NA,3,NA,14,67,PM10,107
"Worli, Mumbai -MPCB",2026-02-18,17:00:00,70,104,NA,33,NA,3,NA,13,69,PM10,104
