location,date,time,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,predominant,AQI
"Worli, Mumbai - MPCB",2025-04-25,15:00:00,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA
"Worli, Mumbai - MPCB",2025-04-25,16:00:00,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA
"Worli, Mumbai - MPCB",2025-04-25,17:00:00,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA
"Worli, Mumbai - MPCB",2025-04-25,18:00:00,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA
"Worli, Mumbai - MPCB",2025-04-25,19:00:00,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA
"Worli, Mumbai - MPCB",2025-04-25,20:00:00,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA
"Worli, Mumbai - MPCB",2025-04-25,21:00:00,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA
"Worli, Mumbai - MPCB",2025-04-25,22:00:00,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA
"Worli, Mumbai - MPCB",2025-04-25,23:00:00,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA
"Worli, Mumbai - MPCB",2025-04-26,00:00:00,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA
"Worli, Mumbai - MPCB",2025-04-26,01:00:00,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
"Worli, Mumbai - MPCB",2025-04-26,02:00:00,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
"Worli, Mumbai - MPCB",2025-04-26,03:00:00,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
"Worli, Mumbai - MPCB",2025-04-26,04:00:00,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
"Worli, Mumbai - MPCB",2025-04-26,06:00:00,64,84,NA,37,NA,4,7,7,NA,PM10,84
"Worli, Mumbai - MPCB",2025-04-26,08:00:00,64,83,NA,36,NA,4,7,6,NA,PM10,83
"Worli, Mumbai - MPCB",2025-04-26,08:00:00,64,83,NA,36,NA,4,7,6,NA,PM10,83
"Worli, Mumbai - MPCB",2025-04-26,09:00:00,64,83,NA,36,NA,4,7,7,NA,PM10,83
"Worli, Mumbai - MPCB",2025-04-26,10:00:00,64,83,NA,35,NA,4,7,8,NA,PM10,83
"Worli, Mumbai - MPCB",2025-04-26,11:00:00,64,83,NA,35,NA,4,7,8,NA,PM10,83
"Worli, Mumbai - MPCB",2025-04-26,12:00:00,64,83,NA,35,NA,5,7,9,NA,PM10,83
"Worli, Mumbai - MPCB",2025-04-26,13:00:00,65,83,NA,34,NA,5,7,9,NA,PM10,83
"Worli, Mumbai - MPCB",2025-04-26,14:00:00,65,83,NA,34,NA,5,7,9,NA,PM10,83
"Worli, Mumbai - MPCB",2025-04-26,15:00:00,65,82,NA,31,NA,5,7,10,NA,PM10,82
"Worli, Mumbai - MPCB",2025-04-26,16:00:00,65,81,NA,30,NA,5,7,10,NA,PM10,81
"Worli, Mumbai - MPCB",2025-04-26,17:00:00,65,81,NA,30,NA,5,7,11,NA,PM10,81
"Worli, Mumbai - MPCB",2025-04-26,18:00:00,65,80,NA,29,NA,5,7,10,NA,PM10,80
"Worli, Mumbai - MPCB",2025-04-26,19:00:00,65,79,NA,29,NA,5,7,10,NA,PM10,79
"Worli, Mumbai - MPCB",2025-04-26,20:00:00,65,79,NA,28,NA,5,7,10,NA,PM10,79
